DEPTH_MD,GROUP,FORMATION,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,DTS,ROPA
1526.488,HORDALAND GP.,Skade Fm.,0.9010447264,0.8417683244,2.052875042,116.59666443,0.5809418559,10.584162712,147.07972717,324.60427856,122.39443207
1526.64,HORDALAND GP.,Skade Fm.,0.8907729983,0.8358919024,2.1039972305,117.18875122,0.5883946419,10.044371605,149.68182373,318.20443726,129.30871582
1526.792,HORDALAND GP.,Skade Fm.,0.88209939,0.8332997561,2.1352005005,119.03518677,0.4903949499,9.1974000931,151.13000488,315.17318726,136.2230072
1526.944,HORDALAND GP.,Skade Fm.,0.8709246516,0.8292090893,2.1429827213,114.92149353,0.3922169805,8.4224386215,148.03544617,315.93029785,143.13729858
1527.096,HORDALAND GP.,Skade Fm.,0.8594604731,0.8127867579,2.1480731964,113.00319672,0.3909057677,8.3711595535,146.12910461,323.06863403,138.92036438
1527.248,HORDALAND GP.,Skade Fm.,0.8521549106,0.8037676215,2.1732096672,122.40926361,0.3905030191,8.7099094391,144.29727173,332.93609619,128.21025085
1527.4,HORDALAND GP.,Skade Fm.,0.8452674747,0.8008283973,2.1475551128,117.91269684,0.3985208273,9.2550449371,143.87680054,322.52606201,117.50011444
1527.552,HORDALAND GP.,Skade Fm.,0.858823061,0.8038602471,2.1239039898,123.24890137,0.4294986427,9.9695749283,143.3394928,322.57516479,106.78998566
1527.704,HORDALAND GP.,Skade Fm.,0.9094274044,0.8053773642,2.1300020218,122.84889984,0.4615156353,9.99888134,142.26989746,331.51843262,96.079864502
1527.856,HORDALAND GP.,Skade Fm.,0.8833950162,0.8301430941,2.105946064,130.34532166,0.4350968301,10.025115013,142.23620605,329.13711548,85.369735718
1528.008,HORDALAND GP.,Skade Fm.,0.8580182791,0.8428449631,2.1054999828,129.12342834,0.389048785,10.025600433,142.47692871,324.59423828,75.259307861
1528.16,HORDALAND GP.,Skade Fm.,0.8638476729,0.8220063448,2.0989570618,120.03450775,0.413099885,9.3248538971,144.48027039,333.13583374,75.943519592
1528.312,HORDALAND GP.,Skade Fm.,0.8734505773,0.8316325545,2.0987999439,115.65661621,0.4232479632,9.3079004288,147.93400574,330.61245728,76.627731323
1528.464,HORDALAND GP.,Skade Fm.,0.8857434392,0.8410297632,2.1521215439,116.97181702,0.423694253,7.6177477837,153.82546997,318.54672241,77.311943054
1528.616,HORDALAND GP.,Skade Fm.,0.8955959082,0.8469200134,2.1697847843,120.10423279,0.4393973053,7.0027651787,152.04452515,326.47747803,77.996154785
1528.768,HORDALAND GP.,Skade Fm.,0.8930021524,0.8514466882,2.1917438507,124.74456024,0.455837965,6.2305312157,150.5349884,329.69903564,78.680366516
1528.92,HORDALAND GP.,Skade Fm.,0.8833598495,0.8443725705,2.1831526756,124.3263092,0.456400007,5.9683842659,149.69210815,319.70175171,79.364578247
